,no_size
0,Salmonella enterica
1,Synechocystis minima
2,Sphaerospermopsis aphanizomenoides
3,Trichormus variabilis
4,Aphanizomenon flosaquae
5,Mastigocladus laminosus
6,Planktothrix agardhii
7,Microcystis ichthyoblabe
8,Aphanizomenon aphanizomenoides
9,Synechococcus lividus
10,Microcystis aeruginosa
11,Anacystis incerta
12,Crocosphaera watsonii
13,Spirulina platensis
14,Arthrospira fusiformis
15,Trichodesmium erythraeum
16,Streptococcus salivarius
17,Lactobacillus delbrueckii
18,Lactobacillus acidophilus
19,Lactobacillus paracasei
20,Marinitoga piezophila
21,Pseudothermotoga lettingae
22,Sulfobacillus thermotolerans
23,Bacillus infernus
24,Colwellia demingiae
25,Colwellia hornerae
26,Colwellia psychrerythraea
27,Colwellia psychrotropica
28,Psychroflexus torquis
29,Rubrobacter xylanophilus
30,Rubrobacter radiotolerans
31,Halanaerobium lacusrosei
32,Pseudoxanthomonas broegbernensis
33,Pseudoxanthomonas taiwanensis
34,Caloramator indicus
35,Caldanaerobacter subterraneus
36,Deinococcus geothermalis
37,Deinococcus murrayi
38,Sulfurihydrogenibium kristjanssonii
39,Isosphaera pallida
40,Persephonella marina
41,Persephonella guaymasensis
42,Deferribacter thermophilus
43,Thermacetogenium phaeum
44,Pelotomaculum thermopropionicum
45,Geobacillus caldotenax
46,Thermoanaerobacter mathranii
47,Thermoanaerobacter kivui
48,Desulfotomaculum putei
49,Bosea eneae
50,Aeribacillus pallidus
51,Halomonas campisalis
52,Hydrogenophaga pseudoflava
53,Thermus thermophilus
54,Marinithermus hydrothermalis
55,Thermoanaerobacterium thermosulfurigenes
56,Psychrobacter muriicola
57,Thermoanaerobacter siderophilus
58,Desulfuromonas michiganensis
59,Thermosipho japonicus
60,Alkaliphilus transvaalensis
61,Marinobacter alkaliphilus
62,Meiothermus chliarophilus
63,Profundimonas piezophila
64,Pseudoalteromonas antarctica
65,Listeria monocytogenes
66,Caldicellulosiruptor obsidiansis
67,Clostridium perfringens
68,Desulforhopalus vacuolatus
69,Desulfobacter curvatus
70,Brochothrix thermosphacta
71,Lactococcus piscium
72,Geobacillus stearothermophilus
73,Lactobacillus rhamnosus
74,Acetobacterium fimetarium
75,Acetobacterium carbinolicum
76,Caloramator fervidus
77,Desulfofrigus oceanense
78,Desulfofrigus fragile
79,Desulfofaba gelida
80,Desulfotalea psychrophila
81,Desulfotalea arctica
82,Psychrobacter glacincola
83,Xanthomonas campestris
84,Xylella fastidiosa
85,Erwinia amylovora
86,Halomonas subglaciescola
87,Glaciecola punicea
88,Shewanella gelidimarina
89,Aeromonas hydrophila
90,Klebsiella oxytoca
91,Yersinia enterocolitica
92,Halomonas elongata
93,Staphylococcus xylosus
94,Halanaerobium alcaliphilum
95,Psychromonas profunda
96,Moritella profunda
97,Moritella abyssi
98,Halonatronum saccharophilum
