"ID","MinTemp","MaxTemp"
"1",NA,NA
"2",273.1841024,292.1129
"3",NA,NA
"4",NA,NA
"5",NA,NA
"6",NA,NA
"7",276.75868,318.1071
"8",NA,NA
"9",293.1983,317.9977
"10",288.0489,327.9788
"11",NA,NA
"12",313.047,348.2219
"13",NA,NA
"14",NA,NA
"15",NA,NA
"16",NA,NA
"17",296.2679,328.1338
"18",296.1731,323.164
"19",296.2195,327.21
"20",296.2717,329.9848
"21",296.2307,322.1402
"22",296.2966,331.2203
"23",296.0407,328.1775
"24",296.188,330.4293
"25",296.2448,324.3784
"26",296.176,330.2669
"27",296.2676,325.2873
"28",296.1631,327.249
"29",296.1038,329.0088
