"uniqueID","AverageVolume","GrowthRate","Temperature","Temp"
4,-14.8356471442156,-5.73947905115313,"LowTemp_GR",6.2
5,-16.4559319556497,-6.21159468002921,"LowTemp_GR",6.2
27,-14.7077439286435,-5.81099359525437,"LowTemp_GR",6.2
63,-17.7258421507363,-5.37978274074732,"LowTemp_GR",6.2
68,-18.1586405295451,-4.31516804729035,"LowTemp_GR",6.2
69,-18.1118205060817,-4.43003235391057,"LowTemp_GR",6.2
70,-18.2549252084179,-4.32505036664764,"LowTemp_GR",6.2
71,-18.1118205060817,-4.20992981672849,"LowTemp_GR",6.2
72,-17.6516951369518,-4.96696309177367,"LowTemp_GR",6.2
96,-17.7144426909922,-6.69656376243588,"LowTemp_GR",6.2
98,-18.115204636051,-4.70997593633351,"LowTemp_GR",6.2
103,-18.1630432629404,-5.22630305365563,"LowTemp_GR",6.2
120,-18.6925039620868,-4.90772000442051,"LowTemp_GR",6.2
131,-17.1073489661227,-5.72843359213006,"LowTemp_GR",6.2
134,-18.5301779840218,-4.68177944772668,"LowTemp_GR",6.2
137,-17.7258421507363,-5.20366621677374,"LowTemp_GR",6.2
150,-17.8632794328436,-5.16015292477078,"LowTemp_GR",6.2
151,-17.9355420107731,-5.97739007199028,"LowTemp_GR",6.2
153,-16.8124792791635,-6.12927658431657,"LowTemp_GR",6.2
154,-17.7619538968712,-5.3465453864832,"LowTemp_GR",6.2
155,-16.4436974992327,-6.34030513131405,"LowTemp_GR",6.2
156,-17.787812395596,-5.3484622772624,"LowTemp_GR",6.2
157,-18.131943638177,-5.60025377845125,"LowTemp_GR",6.2
161,-16.5718652059712,-7.30089964792479,"LowTemp_GR",6.2
172,-18.4948500216801,-4.74611176890951,"LowTemp_GR",6.2
173,-18.1598939055432,-4.30659104702523,"LowTemp_GR",6.2
176,-17.6038006529043,-4.38094512394848,"LowTemp_GR",6.2
179,-17.7189666327523,-4.23907482606776,"LowTemp_GR",6.2
180,-17.6497519816658,-4.84339589536928,"LowTemp_GR",6.2
201,-18.1140736601986,-5.62180735565078,"LowTemp_GR",6.2
208,-18.4461169733561,-5.48746633490252,"LowTemp_GR",6.2
229,-17.3798639450262,-4.5907130153939,"LowTemp_GR",6.2
230,-17.7958800173441,-6.54497782433017,"LowTemp_GR",6.2
1,-17.3645162531851,-4.70776426219165,"MidTemp_GR",16
2,-17.8996294548824,-4.15432966621556,"MidTemp_GR",16
3,-14.4814860601221,-6.03032087254067,"MidTemp_GR",16
4,-14.8356471442156,-5.35936046510657,"MidTemp_GR",16
5,-16.4559319556497,-5.77116172868607,"MidTemp_GR",16
7,-18.7958800173441,-5.54784374347802,"MidTemp_GR",16
15,-15.4190750243244,-5.17270990053459,"MidTemp_GR",16
16,-15.2111248842246,-5.65082115469275,"MidTemp_GR",16
19,-15.1505805862031,-5.74134653816979,"MidTemp_GR",16
23,-16.2612194415156,-5.6182142842593,"MidTemp_GR",16
25,-16.2218487496164,-5.86333741065448,"MidTemp_GR",16
27,-14.7077439286435,-5.30499011080663,"MidTemp_GR",16
28,-16.1870866433571,-5.84677855462996,"MidTemp_GR",16
29,-15.7772835288524,-5.97528625997596,"MidTemp_GR",16
30,-16.1870866433571,-5.41761870380861,"MidTemp_GR",16
33,-15.0772745420067,-5.36974300175992,"MidTemp_GR",16
34,-15.4100503986743,-5.34279426846205,"MidTemp_GR",16
40,-17.0381045263321,-5.09832822184057,"MidTemp_GR",16
41,-15.8356471442156,-5.23850149128398,"MidTemp_GR",16
60,-18.5301779840218,-4.32607013230947,"MidTemp_GR",16
63,-17.7258421507363,-4.79252259763271,"MidTemp_GR",16
69,-18.1118205060817,-4.4831755224495,"MidTemp_GR",16
70,-18.2549252084179,-4.35945472559058,"MidTemp_GR",16
71,-18.1118205060817,-3.98484643977998,"MidTemp_GR",16
72,-17.6516951369518,-4.85123692825928,"MidTemp_GR",16
78,-17.4377071355435,-3.98421609436293,"MidTemp_GR",16
96,-17.7144426909922,-6.13464244916492,"MidTemp_GR",16
98,-18.115204636051,-4.34982723951643,"MidTemp_GR",16
103,-18.1630432629404,-4.54825565324273,"MidTemp_GR",16
113,-17.8996294548824,-3.88213949107863,"MidTemp_GR",16
120,-18.6925039620868,-4.10233190829026,"MidTemp_GR",16
128,-16.3840499483436,-4.98035400847298,"MidTemp_GR",16
131,-17.1073489661227,-5.24277247672592,"MidTemp_GR",16
134,-18.5301779840218,-4.0363368373872,"MidTemp_GR",16
137,-17.7258421507363,-4.4597296204633,"MidTemp_GR",16
150,-17.8632794328436,-4.83927835804751,"MidTemp_GR",16
151,-17.9355420107731,-5.36297208499348,"MidTemp_GR",16
154,-17.7619538968712,-5.0776254574918,"MidTemp_GR",16
156,-17.787812395596,-5.14442994917438,"MidTemp_GR",16
157,-18.131943638177,-5.32402806586609,"MidTemp_GR",16
161,-16.5718652059712,-6.85500496474092,"MidTemp_GR",16
172,-18.4948500216801,-4.53521245260965,"MidTemp_GR",16
173,-18.1598939055432,-4.09862803225282,"MidTemp_GR",16
176,-17.6038006529043,-3.83438076437787,"MidTemp_GR",16
179,-17.7189666327523,-3.77402550577252,"MidTemp_GR",16
180,-17.6497519816658,-3.77525912925807,"MidTemp_GR",16
201,-18.1140736601986,-4.99592426070425,"MidTemp_GR",16
208,-18.4461169733561,-4.81364797492053,"MidTemp_GR",16
212,-17.8569851997459,-4.57213915099323,"MidTemp_GR",16
216,-18.0381045263321,-4.46781924645341,"MidTemp_GR",16
220,-18.2321023839819,-3.98513726733481,"MidTemp_GR",16
230,-17.7958800173441,-5.18562445367179,"MidTemp_GR",16
1,-17.3645162531851,-3.99639283921399,"HighTemp_GR",32.8
2,-17.8996294548824,-3.40541804589978,"HighTemp_GR",32.8
3,-14.4814860601221,-5.16823604766673,"HighTemp_GR",32.8
4,-14.8356471442156,-5.19483334546482,"HighTemp_GR",32.8
14,-15.0222763947112,-5.90957239300937,"HighTemp_GR",32.8
16,-15.2111248842246,-5.00154492149722,"HighTemp_GR",32.8
18,-17.397940008672,-5.02134816638801,"HighTemp_GR",32.8
19,-15.1505805862031,-5.28281377511662,"HighTemp_GR",32.8
23,-16.2612194415156,-5.40876172854824,"HighTemp_GR",32.8
25,-16.2218487496164,-5.66956648297815,"HighTemp_GR",32.8
29,-15.7772835288524,-5.39691080049304,"HighTemp_GR",32.8
33,-15.0772745420067,-5.35799373162141,"HighTemp_GR",32.8
34,-15.4100503986743,-4.88862077670003,"HighTemp_GR",32.8
40,-17.0381045263321,-4.79906319691225,"HighTemp_GR",32.8
41,-15.8356471442156,-4.79699803578677,"HighTemp_GR",32.8
52,-14.3914739664228,-5.77488956304535,"HighTemp_GR",32.8
53,-13.9355420107731,-5.74885526436668,"HighTemp_GR",32.8
59,-18.4534573365219,-3.77285385820505,"HighTemp_GR",32.8
60,-18.5301779840218,-3.65976172074222,"HighTemp_GR",32.8
63,-17.7258421507363,-4.08660631760918,"HighTemp_GR",32.8
66,-17.5800442515102,-4.159261401422,"HighTemp_GR",32.8
75,-18.2898826348882,-4.41124352390675,"HighTemp_GR",32.8
76,-18.5287082889411,-4.28763755683358,"HighTemp_GR",32.8
78,-17.4377071355435,-3.27090011677384,"HighTemp_GR",32.8
96,-17.7144426909922,-5.25242544858947,"HighTemp_GR",32.8
103,-18.1630432629404,-5.3034742263431,"HighTemp_GR",32.8
105,-17.3115801779973,-3.69399672198565,"HighTemp_GR",32.8
112,-17.8894102897008,-3.89770580479032,"HighTemp_GR",32.8
113,-17.8996294548824,-3.60569785159025,"HighTemp_GR",32.8
120,-18.6925039620868,-3.52008353560804,"HighTemp_GR",32.8
128,-16.3840499483436,-3.56480765303447,"HighTemp_GR",32.8
137,-17.7258421507363,-3.78218754962834,"HighTemp_GR",32.8
176,-17.6038006529043,-3.29759788036203,"HighTemp_GR",32.8
179,-17.7189666327523,-3.57443353905157,"HighTemp_GR",32.8
180,-17.6497519816658,-3.12944130000819,"HighTemp_GR",32.8
182,-18.5512936800949,-3.47832272248946,"HighTemp_GR",32.8
208,-18.4461169733561,-4.20641469204979,"HighTemp_GR",32.8
212,-17.8569851997459,-3.89596526180969,"HighTemp_GR",32.8
216,-18.0381045263321,-3.47107120712171,"HighTemp_GR",32.8
230,-17.7958800173441,-4.43291955503493,"HighTemp_GR",32.8
