,ID,A,B,C,D,AIC,BIC,chi-squared,r-squared,status
0,1,0.884480740436275,-0.15129601079742575,0.008305151650128463,-0.0001373207675288688,-53.959308984353356,-54.1756683881321,0.0010023383027053792,0.9133289507752841,C
0,2,0.4445699999956545,0.02377833333206103,0.030889999997819384,-0.0011527333183379562,-5.358816489704012,-6.9210648399676105,0.3456511030000002,0.9672142895089888,C
0,3,-0.32725892445794835,0.04083025257851615,-0.0007967931870781605,-1.0220603940475546e-06,-87.22230623159113,-85.63072514039766,0.0019137740942828125,0.9449647982089071,C
0,4,-0.3341350350793932,0.04103001639606075,-0.0007776522303596044,-1.910655751845801e-06,-80.01475562537027,-78.42317453417678,0.003685142264570029,0.9013420830649573,C
0,5,-0.6258107071967292,0.0817756602844413,-0.0025881125200466837,2.5263547104904463e-05,-81.1537041668781,-79.94336379490191,0.0013430860054483547,0.9401743427417214,C
0,6,0.29220001468049706,-0.07117381209552853,0.006031428708324463,-0.00011933333559286107,-60.92282877057431,-62.485077120837914,5.157142857142803e-06,0.9999389042295874,C
0,7,0.3274000192056867,-0.0626880985711176,0.0038942858903102786,-6.333333622026906e-05,-52.75521740530274,-54.31746575556634,2.641428571428731e-05,0.9992502161356407,C
0,8,46.79060000014697,-8.575195158758373,0.49017214285638777,-0.007954622105892891,6.679934444537676,5.846972321449896,4.815060178571449,0.9745145290622625,C
0,9,1.176485656629527,-0.3916981661519071,0.04257499964392411,-0.0008504444398838084,-18.130441900148128,-18.346801303926874,0.16746010714285667,0.9918158739918627,C
0,10,0.0002504026370089923,-2.921870508509158e-05,3.4574765523994675e-06,-6.585643483063646e-08,-118.5130940424151,-119.34605616550289,4.176650595714348e-09,0.9759439176340147,C
