,FinalID,StandardisedTraitName,StandardisedTraitValue,StandardisedTraitUnit,ConTemp,ConTempUnit,uniqueID,Temp(kel),1/kT,log_TraitValues,E,Eh,El,Th,Tl,log_B0
15439,MTD2079,Population Growth Rate,1.15740740741e-08,event / (individual * second),10,celsius,3,283.15,40.9836556967,-18.2744982338,-0.906758115536,17.6501242247,-0.453379057768,40.2725042878,37.6586795733,1.15740740741e-08
15440,MTD2079,Population Growth Rate,8.10185185185e-07,event / (individual * second),12.5,celsius,3,285.65,40.6249680046,-14.0260029917,-0.906758115536,17.6501242247,-0.453379057768,40.2725042878,37.6586795733,1.15740740741e-08
15441,MTD2079,Population Growth Rate,8.10185185185e-07,event / (individual * second),15,celsius,3,288.15,40.2725042878,-14.0260029917,-0.906758115536,17.6501242247,-0.453379057768,40.2725042878,37.6586795733,1.15740740741e-08
15442,MTD2079,Population Growth Rate,1.85185185185e-06,event / (individual * second),18,celsius,3,291.15,39.8575377315,-13.1993244185,-0.906758115536,17.6501242247,-0.453379057768,40.2725042878,37.6586795733,1.15740740741e-08
15443,MTD2079,Population Growth Rate,1.96759259259e-06,event / (individual * second),20,celsius,3,293.15,39.5856118387,-13.1386997967,-0.906758115536,17.6501242247,-0.453379057768,40.2725042878,37.6586795733,1.15740740741e-08
15444,MTD2079,Population Growth Rate,1.96759259259e-06,event / (individual * second),22.5,celsius,3,295.65,39.2508781009,-13.1386997967,-0.906758115536,17.6501242247,-0.453379057768,40.2725042878,37.6586795733,1.15740740741e-08
15445,MTD2079,Population Growth Rate,2.08333333333e-06,event / (individual * second),25,celsius,3,298.15,38.9217578753,-13.0815413829,-0.906758115536,17.6501242247,-0.453379057768,40.2725042878,37.6586795733,1.15740740741e-08
15446,MTD2079,Population Growth Rate,2.08333333333e-06,event / (individual * second),27.5,celsius,3,300.65,38.5981111276,-13.0815413829,-0.906758115536,17.6501242247,-0.453379057768,40.2725042878,37.6586795733,1.15740740741e-08
15447,MTD2079,Population Growth Rate,1.73611111111e-06,event / (individual * second),30,celsius,3,303.15,38.2798024427,-13.2638629397,-0.906758115536,17.6501242247,-0.453379057768,40.2725042878,37.6586795733,1.15740740741e-08
15448,MTD2079,Population Growth Rate,1.27314814815e-06,event / (individual * second),32.5,celsius,3,305.65,37.966700836,-13.574017868,-0.906758115536,17.6501242247,-0.453379057768,40.2725042878,37.6586795733,1.15740740741e-08
15449,MTD2079,Population Growth Rate,1.04166666667e-06,event / (individual * second),35,celsius,3,308.15,37.6586795733,-13.7746885634,-0.906758115536,17.6501242247,-0.453379057768,40.2725042878,37.6586795733,1.15740740741e-08
